OverallQual,OverallCond,BsmtFinSF1,GrLivArea,BedroomAbvGr,GarageArea,SalePrice
7,5,560,1431,3,666,192000
7,5,0,1709,3,380,130000
5,7,390,864,3,352,127000
6,6,566,1456,3,440,148500
7,5,1126,1726,3,786,311872
8,4,1036,3112,4,795,235000
6,6,0,2229,5,0,104000
8,5,1088,1713,3,856,274900
4,5,0,1121,2,440,140000
6,6,641,1279,3,473,171500
6,6,617,1310,2,398,112000
6,5,662,848,1,420,149000
5,7,312,1284,2,240,110000
7,5,0,1442,3,500,180500
5,5,0,1696,3,349,143900
4,5,419,1100,3,312,141000
7,5,1065,2062,3,454,277000
6,7,787,1092,3,504,145000
5,6,468,864,2,0,98000
6,5,36,1212,3,460,186000
7,5,822,1852,3,644,252678
5,5,716,990,3,576,156000
6,7,378,1392,3,299,161750
5,6,360,1236,2,447,134450
7,5,946,1436,3,484,210000
4,4,0,1328,3,210,107000
7,9,341,1954,3,431,311500
7,5,16,1248,2,438,167240
7,5,0,1498,2,675,204900
6,5,0,2267,4,390,200000
6,6,550,1552,3,434,179900
4,6,524,864,2,576,97000
10,5,56,2392,3,968,386250
5,5,0,1302,3,280,112000
7,5,565,2520,4,721,290000
6,6,321,987,2,280,106000
5,5,842,912,3,336,125000
7,5,16,1555,2,430,192500
6,6,0,1194,3,312,148000
8,5,689,2794,4,810,403000
6,5,0,987,2,288,94500
5,6,182,894,3,308,128200
6,5,625,1960,4,440,216500
6,3,358,987,2,264,89500
7,5,24,1414,3,494,185500
7,7,402,1744,3,457,194500
8,5,0,1694,3,818,318000
6,4,94,1487,3,220,113000
8,5,1078,1566,3,750,262500
5,9,329,866,2,0,110500
5,4,0,1440,3,352,79000
6,6,0,1217,3,288,120000
7,5,695,2110,3,463,205000
7,5,929,1872,3,604,241500
6,8,0,1928,4,440,137000
6,5,0,1375,2,451,140000
7,5,0,1668,3,500,180000
6,7,697,2144,4,389,277000
3,2,0,1306,3,0,76500
8,5,1573,1625,2,538,235000
6,5,0,1640,3,520,173000
6,7,270,1302,3,309,158000
5,6,922,1314,3,294,145000
7,5,0,2291,4,429,230000
6,5,503,1728,3,673,207500
7,5,1334,1604,3,660,220000
7,5,361,1792,3,564,231500
5,5,0,882,2,308,97000
6,5,672,1382,3,884,176000
8,5,0,2574,3,868,276000
6,7,506,1212,3,492,151000
5,7,234,1316,3,484,130000
5,5,0,764,2,504,73000
6,6,588,1422,3,576,175500
6,5,714,1511,3,413,185000
5,8,378,2192,4,240,179500
5,6,403,778,2,924,120500
6,7,751,1113,3,504,148000
8,5,0,1939,3,1053,266000
7,7,226,1363,2,439,241500
8,7,524,2270,4,671,290000
6,6,620,1632,3,338,139000
5,7,546,816,2,264,124500
7,7,0,1548,3,672,205000
7,5,0,1560,3,573,201000
4,5,120,864,2,400,141000
9,5,0,2121,3,732,415298
7,5,392,2022,4,505,192000
7,6,421,1982,3,575,228500
6,5,905,1262,2,572,185000
7,5,904,1314,2,626,207500
8,5,0,1468,3,898,244600
6,5,430,1575,2,529,179200
7,5,0,1250,2,528,164700
6,7,600,1734,3,440,159000
4,4,614,858,3,0,88000
5,5,450,900,3,280,122000
6,7,0,1396,3,384,153575
8,5,0,1919,3,685,233230
5,6,210,1716,6,0,135900
5,4,292,1716,3,281,131000
7,7,795,2263,3,539,235000
6,5,1285,1644,3,418,167000
6,6,819,1003,3,588,142500
5,5,420,1558,4,282,152000
7,5,649,1950,3,576,239000
6,6,384,1743,3,539,175000
6,8,0,1152,3,300,158500
5,5,841,1336,2,375,157000
8,5,281,2452,4,683,267000
7,5,0,1541,3,843,205000
5,7,894,894,3,552,149900
7,9,0,3493,3,870,295000
8,5,1464,2000,3,888,305900
7,5,700,2243,4,746,225000
6,7,0,1406,3,0,89500
4,5,262,861,1,539,82500
9,5,1274,1944,3,708,360000
6,5,518,1501,3,420,165600
6,6,680,972,2,240,132000
5,7,507,1118,3,410,119900
7,5,1236,2036,3,513,375000
7,7,16,1641,3,546,178000
7,5,425,1432,3,432,188500
7,7,692,2353,4,484,260000
8,5,0,1959,3,1025,270000
7,5,987,2646,4,656,260000
7,5,1036,1472,3,588,187500
9,5,0,2596,4,840,342643
8,5,970,2468,4,872,354000
7,5,28,2730,4,576,301000
3,8,256,1163,3,220,126175
7,7,0,2978,5,564,242000
5,6,116,803,2,360,87000
8,5,1619,1719,1,473,324000
6,5,565,1383,3,292,145250
6,6,0,2134,5,441,214500
5,5,0,1192,3,189,78000
5,4,40,1728,6,352,119000
5,6,846,1056,3,308,139000
8,5,1124,1629,3,880,284000
7,5,720,1358,2,484,207000
6,5,828,1638,3,472,192000
5,6,1249,1786,3,529,228950
9,5,1249,1922,3,676,377426
7,5,810,1536,3,532,214000
7,7,213,1621,3,440,202500
6,7,585,1215,3,297,155000
8,5,0,1908,4,431,202900
4,4,0,841,2,294,82000
3,4,0,1040,2,400,87500
9,5,28,1684,2,564,266000
5,3,129,1112,3,336,85000
6,5,0,1577,3,312,140200
6,8,498,958,2,301,151500
6,5,1270,1478,3,498,157500
7,5,573,1626,2,474,154000
9,5,1410,2728,4,706,437154
9,5,0,1869,2,617,318061
7,5,1082,1453,2,445,190000
5,6,236,1111,3,200,95000
6,8,0,720,2,484,105900
6,5,388,1595,2,240,140000
6,5,334,1200,3,521,177500
6,6,560,1167,3,400,173000
5,5,874,1142,3,528,134000
5,4,300,1352,3,288,130000
8,5,956,1924,3,592,280000
6,6,773,912,2,470,156000
5,5,399,1505,3,240,145000
7,5,0,1922,4,672,198500
6,8,162,987,2,264,118000
6,5,712,1574,3,566,190000
5,7,456,1344,3,468,147000
6,5,609,1394,3,514,159000
6,5,371,1431,3,296,165000
5,6,540,1268,2,244,132000
5,7,72,1287,3,576,162000
6,5,0,1664,3,460,172400
4,4,0,1588,4,680,134432
6,5,623,752,2,264,125000
5,6,428,1319,3,270,123000
7,5,0,1928,4,434,219500
1,1,350,904,1,0,61000
5,5,298,914,2,576,148000
8,5,0,2466,4,610,340000
9,2,1445,1856,1,834,394432
6,5,0,1800,3,463,179000
5,6,218,1691,3,308,127000
7,5,0,1301,2,572,187750
7,5,0,1797,3,639,213500
6,3,0,784,2,360,76000
6,5,985,1953,3,501,240000
8,5,24,1269,2,430,192000
5,3,0,1184,5,0,81000
6,6,631,1125,3,352,125000
7,5,0,1479,3,577,191000
10,5,1280,2332,3,846,426000
5,8,241,1367,4,384,119000
6,5,690,1961,3,560,215000
5,7,0,882,3,294,106500
4,5,266,788,2,0,100000
5,6,0,1034,2,240,109000
5,6,739,1144,3,596,129000
5,5,777,894,2,600,123000
5,5,540,1812,4,264,169500
5,2,0,1077,2,338,67000
7,5,812,1550,2,438,241000
8,5,786,1288,1,500,245500
7,5,24,1310,3,400,164990
5,8,0,672,2,240,108000
8,5,0,2263,4,420,258000
6,5,0,1572,3,373,168000
4,4,1116,1620,3,490,150000
6,5,0,1639,3,240,115000
6,7,0,1680,4,308,177000
7,5,0,2172,3,947,280000
8,5,789,2078,3,836,339750
5,3,0,1276,3,350,60000
5,5,1056,1056,3,572,145000
7,5,578,1478,2,484,222000
5,6,0,1028,2,360,115000
7,5,50,2097,3,678,228000
7,5,24,1340,3,396,181134
6,7,209,1400,3,440,149500
6,6,1128,2624,4,864,239000
5,6,312,1134,3,240,126000
5,6,775,1056,3,304,142000
7,5,1309,1344,2,784,206300
6,7,1246,1602,3,529,215000
5,5,0,988,2,520,113000
8,5,986,2630,4,696,315000
6,5,616,1196,2,297,139000
7,8,0,1389,3,240,135000
7,5,1518,1644,2,569,275000
4,6,288,907,3,352,109008
7,5,664,1208,2,628,195400
6,5,1005,1412,3,576,175000
6,5,387,987,2,264,85400
6,7,0,1198,4,0,79900
5,5,471,1365,2,440,122500
6,5,0,1604,3,470,181000
4,7,495,630,1,0,81000
7,6,385,1661,3,550,212000
6,8,0,1118,2,440,116000
6,7,0,904,2,180,119000
5,6,365,694,2,352,90350
6,8,0,1196,3,528,110000
10,5,1767,2402,2,672,555000
4,4,133,1440,4,0,118000
5,7,0,1573,3,360,162900
7,5,0,1258,2,648,172500
7,5,642,1908,4,493,210000
6,5,0,1689,3,480,127500
6,6,247,1888,2,578,190000
7,5,0,1886,4,431,199900
6,6,0,1376,3,198,119500
3,7,331,1183,2,308,120000
6,8,0,813,2,270,110000
7,5,655,1533,2,576,280000
6,5,742,1756,3,422,204000
8,5,0,1590,3,676,210000
5,5,1606,1728,4,560,188000
7,6,916,1242,3,528,175500
5,5,0,1344,4,513,98000
4,6,1116,1663,2,529,256000
8,7,0,1666,3,228,161000
5,4,185,1203,3,352,110000
8,5,544,1935,3,552,263435
7,9,350,1135,3,576,155000
5,5,553,864,3,360,62383
6,7,326,1660,3,240,188700
5,5,616,1040,3,0,124000
7,5,0,1414,2,398,178740
7,5,778,1277,2,526,167000
5,7,386,1644,3,312,146500
8,5,0,1634,3,866,250000
6,5,426,1710,3,506,187000
8,5,368,1502,1,528,212000
7,6,0,1969,3,534,190000
6,5,459,1072,2,525,148000
8,5,1350,1976,2,908,440000
8,5,1196,1652,2,499,251000
5,6,630,970,2,624,132500
6,5,994,1493,3,508,208900
9,5,0,2643,3,694,380000
8,5,1288,1718,3,826,297000
4,7,168,1131,2,672,89471
9,5,1261,1850,3,772,326000
9,5,1567,1792,2,874,374000
7,8,299,1826,4,164,155000
6,5,897,1216,2,402,164000
5,7,588,999,3,264,132500
5,7,607,1113,3,264,147000
5,7,836,1073,3,515,156000
5,6,998,1484,3,487,175000
5,4,664,2414,3,520,160000
4,8,515,630,1,286,86000
5,6,0,1304,3,336,115000
6,7,403,1578,3,240,133000
6,5,0,1456,3,429,172785
5,6,374,1269,3,308,155000
5,8,0,886,2,273,91300
4,5,495,720,2,0,34900
8,5,1231,3228,4,546,430000
7,6,329,1820,4,240,184000
5,7,450,899,3,288,130000
5,7,111,912,2,297,120000
