Identifier,Company_Name,Country_of_Headquarters,IVLatestFiscalYearPeriodEndDate,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY-8,FY-9
DEZG.DE,DEUTZ AG,Germany,31-12-2022,43.37,45.77,38.98,34.39,27.54,,,,,
SKBG.DE,Koenig & Bauer AG,Germany,31-12-2022,46.93,41.81,,,,,,,,
KSBG.DE,KSB SE & Co KGaA,Germany,31-12-2022,,,,,,,,,,
KBUG.H,TAG Colonia Immobilien AG,Germany,31-12-2021,,,,,,,,,,
LKMG.MU,Landshuter Kunstmuehle CA Meyer`s Nachfolger AG,Germany,,,,,,,,,,,
LECG.F,Lechwerke AG,Germany,31-12-2022,62.28,56.26,55.57,,,,,,,
LEIG.DE,Leifheit AG,Germany,31-12-2022,65.97,62.83,61.72,57.83,54.94,49.43,51.18,51.01,59.12,53.32
LEOGn.DE,Leoni AG,Germany,,,,,,,,,,,
MNVG.F,Mainova AG,Germany,,,,,,,,,,,
MTVG.DE,Albis Leasing AG,Germany,,,,,,,,,,,
MUTG.F,Mineralbrunnen Ueberkingen-Teinach GmbH & Co KgaA,Germany,31-12-2022,88.96,85.32,88.94,84.41,83.11,82.48,69.96,69.87,71.97,68.56
MUVGn.DE,Muenchener Rueckversicherungs Gesellschaft in Muenchen AG,Germany,31-12-2022,,,,,,,,,,
NAKG.H,NAK Stoffe AG,Germany,,,,,,,,,,,
NHB0n.MU,Nebelhornbahn-AG,Germany,31-10-2022,33.4,31.24,,,,,,,,
NBHG.MU,Hoftex Group AG,Germany,,,,,,,,,,,
NSTG.SG,Steuler Fliesengruppe AG,Germany,31-12-2022,,,,,,,,,,
NUCG.SG,Nucletron Electronic AG,Germany,31-12-2021,,,,,,,,,,
NLVGn.DE,Nuernberger Beteiligungs AG,Germany,31-12-2022,,,,,,,,,,
OELG.F,ADM Hamburg AG,Germany,31-12-2022,,,,,,,,,,
OAB0k.H,OAB Osnabruecker Anlagenund Beteiligungs-Aktiengesellschaft,Germany,,,,,,,,,,,
PKBG.F,PARK & Bellheimer AG,Germany,31-12-2022,,,,,,,,,,
PITG.F,Pittler Maschinenfabrik AG,Germany,31-12-2022,,,,,,,,,,
PPZG.BE,Pommersche Provinzial-Zuckersiederei AG,Germany,30-09-2021,18.56,15.32,11.4,9.95,11.24,7.75,3.91,7.61,11.44,17.76
PSHG_p.DE,Porsche Automobil Holding SE,Germany,31-12-2022,76.89,79.51,79.54,81.96,84.97,82.62,83.77,73.59,76.12,66.16
TUI1n.DE,TUI AG,Germany,30-09-2022,54.36,45.2,,,,,,,,
PWO.DE,PWO AG,Germany,31-12-2022,,,,,,,,,,
KULG.MU,Kulmbacher Brauerei Aktien-Gesellschaft,Germany,31-12-2022,,,,,,,,,,
RKBG.F,Webac Holding AG,Germany,,5.01,,,,,,,,,
RLVG.D,RheinLand Holding AG,Germany,,81.18,80.07,69.72,42.73,38.5,43.89,45.66,39.17,39.27,37.93
RHMG.DE,Rheinmetall AG,Germany,31-12-2022,90.71,94.49,93.18,93.4,93.58,92.24,91.56,90.55,88.62,90.69
SAPG.DE,SAP SE,Germany,31-12-2022,,,,,,,,,,
SSSG.D,Schulte-Schlagbaum AG,Germany,31-12-2021,,,,,,,,,,
SCMG.F,Schumag AG,Germany,,,,,,,,,,,
SBVG.SG,Schwabenverlag AG,Germany,,,,,,,,,,,
SMBG.F,Schwaelbchen Molkerei Jakob Berz AG,Germany,31-12-2022,,,,,,,,,,
SPBH.F,Sedlmayr Grund und Immobilien AG,Germany,30-09-2022,,,,,,,,,,
SWAG.DE,Schloss Wachenheim AG,Germany,30-06-2022,57.63,42.3,35.91,31.45,28.81,11.57,,,,
SIXG.DE,Sixt SE,Germany,31-12-2022,,,,,,,,,,
NEPG.H,SLOMAN NEPTUN Schiffahrts-AG,Germany,31-12-2022,71.59,69.05,64.6,58.94,57.08,54.27,35.66,27.54,29.06,28.97
SZGG.DE,Salzgitter AG,Germany,,,,,,,,,,,
STGG.F,STINAG Stuttgart Invest AG,Germany,31-12-2022,,,,,,,,,,
SSHG.F,Suedwestdeutsche Salzwerke AG,Germany,31-12-2022,68.33,62.63,53.71,48,44.18,48.24,33.64,35.43,23.32,17.01
SZUG.DE,Suedzucker AG,Germany,28-02-2023,69.63,70.17,60.68,55.86,49.35,47.93,,,,
TEGG.DE,TAG Immobilien AG,Germany,31-12-2022,,,,,,,,,,
TTBG.H,Pinguin Haustechnik AG,Germany,,,,,,,,,,,
HVBG.F,UeSTRA Hannoversche Verkehrsbetriebe AG,Germany,,56.62,48.11,31.48,13.41,11.58,,,,,
VAR1.DE,Varta AG,Germany,,76.74,73.02,70.64,74.99,74.45,68.58,77.42,78.35,79.53,82.04
EONGn.DE,E ON SE,Germany,31-12-2022,,,,,,,,,,
VFFG.MU,Vereinigte Filzfabriken AG,Germany,31-12-2022,85.45,86.05,89.17,87.6,83.13,82.53,79.92,80.18,83.95,79.24
VOWG.DE,Volkswagen AG,Germany,31-12-2022,42.2,44.66,40.78,34.31,32.45,,,,,
2HR.DE,H&R GmbH & Co KgaA,Germany,,,,,,,,,,,
WUG.F,Westag AG,Germany,31-12-2022,,,,,,,,,,
WKMG.BE,WKM Terrainund Beteiligungs-Aktiengesellschaft,Germany,,,,,,,,,,,
VG1.F,ECHOS Holding AG,Germany,,,,,,,,,,,
WCMKk.DE,WCM Beteiligungsund Grundbesitz-AG,Germany,31-12-2022,36.72,34.35,32.86,27.69,11.27,,,,,
WUWGn.DE,Wuestenrot & Wuerttembergische AG,Germany,31-12-2022,55.2,52.21,41.36,46.78,47.33,49.93,53.72,54.38,40.03,42.22
ZILGn.DE,Elringklinger AG,Germany,31-12-2022,,,,,,,,,,
ZOOG.BE,Zoologischer Garten Berlin AG,Germany,31-12-2022,89.36,89.98,87.75,83.89,79.71,66.92,67.86,61.2,62.78,59.24
ZURN.S,Zurich Insurance Group AG,Switzerland,31-12-2022,,,,,,,,,,
ZWM.S,Zwahlen et Mayr SA,Switzerland,31-12-2022,85.17,88.63,84.19,83.76,80.17,76.38,67.32,66.8,64.73,50.19
SOON.S,Sonova Holding AG,Switzerland,31-03-2023,,,,,,,,,,
CLKTF.PK,CalciTech Ltd,Switzerland,,66.9,63.94,57.35,41.33,32.73,,,,,
ARBNO.S,Arbonia AG,Switzerland,,,,,,,,,,,
ANFO.S,UBS (CH) Property Fd-Swiss Residential 'Anfos' CHF,Switzerland,,81.55,76.72,65.05,54.71,56.43,37.56,35.13,41.35,42.05,22.77
GAMH.S,GAM Holding AG,Switzerland,,48.49,46.3,39.95,,,,,,,
BLKB.S,Basellandschaftliche Kantonalbank,Switzerland,31-12-2022,,,,,,,,,,
BSKP.S,Basler Kantonalbank,Switzerland,31-12-2022,46.06,46.67,43.75,33.24,,,,,,
BELL.S,Bell Food Group AG,Switzerland,31-12-2022,,,,,,,,,,
IMHE.S,Immo Helvetic,Switzerland,,75.53,59.82,53.59,47.5,47.51,47.71,46.27,48.15,46.29,49.67
OERL.S,OC Oerlikon Corporation AG Pfaeffikon,Switzerland,,42.17,41.67,,,,,,,,
CALN.S,Calida Holding AG,Switzerland,,10.39,8.87,,,,,,,,
GAV.S,Carlo Gavazzi Holding AG,Switzerland,31-03-2023,,,,,,,,,,
CIE.S,CI Com SA,Switzerland,,47.51,52.5,49.71,46.99,,,,,,
DAE.S,Daetwyler Holding AG,Switzerland,31-12-2022,45.61,12.7,,,,,,,,
DCN.S,Datacolor AG,Switzerland,30-09-2022,42.7,35.52,35.47,33.41,22.2,21.85,22.48,21.2,22.8,24.08
EMSN.S,Ems Chemie Holding AG,Switzerland,31-12-2022,78.34,67.47,66.66,64.85,65.29,56.83,61.04,60.99,68.38,61.56
CFR.S,Compagnie Financiere Richemont SA,Switzerland,31-03-2023,35.02,36.14,36.51,33.44,,,,,,
CFT.S,Compagnie Financiere Tradition SA,Switzerland,31-12-2022,83,83.23,74.88,76.52,74.85,73.54,76.6,74.69,78.15,72.86
GF.S,Georg Fischer AG,Switzerland,31-12-2022,46.23,31.48,33.33,30.8,27.25,29.25,30.4,30.98,28.38,28.82
FHZN.S,Flughafen Zuerich AG,Switzerland,31-12-2022,60.71,64.91,63.38,61.07,57.78,,,,,
FORN.S,Forbo Holding AG,Switzerland,31-12-2022,36.9,38.02,42.26,36.35,20.17,,,,,
APGN.S,APG SGA SA,Switzerland,31-12-2022,,,,,,,,,,
GRKP.S,Graubuendner Kantonalbank,Switzerland,31-12-2022,78.26,71.19,54.92,41.7,22.46,,,,,
GURN.S,Gurit Holding AG,Switzerland,31-12-2022,77.51,74.72,74.97,74.69,78.53,77.1,72.04,68.9,70.59,67.39
HOLN.S,Holcim AG,Switzerland,31-12-2022,,,,,,,,,,
IM.S,Immofonds Immobilien AG,Switzerland,,29.09,25.61,22.67,23.56,15.88,,,,,
ISN.S,Intershop Holding AG,Switzerland,31-12-2022,,,,,,,,,,
INT.S,Credit Suisse Real Estate Fund Interswiss A,Switzerland,,29.55,27.33,27.37,14.53,13.33,,,,,
JFN.S,Jungfraubahn Holding AG,Switzerland,31-12-2022,,,,,,,,,,
BEKN.S,Berner Kantonalbank AG,Switzerland,31-12-2022,46.99,43.1,42.03,24.79,21.21,,,,,
KARN.S,Kardex Holding AG,Switzerland,31-12-2022,,,,,,,,,,
EDHN.S,Energiedienst Holding AG,Switzerland,31-12-2022,52.73,49.29,45.68,41.98,45.3,47.38,42.45,45.04,50.47,44.2
VATN.S,Valiant Holding AG,Switzerland,31-12-2022,51.88,49.46,51.19,41.96,32.53,,,,,
LEHN.S,Lem Holding SA,Switzerland,31-03-2023,73.56,73.17,69.22,64.2,61.34,56.23,52,45.73,45.55,41.34
LISN.S,Chocoladefabriken Lindt & Spruengli AG,Switzerland,31-12-2022,,,,,,,,,,
METG.S,Meier Tobler Group AG,Switzerland,31-12-2022,34.14,32.26,28.55,46.45,45.12,,,,,
METN.S,Metall Zug AG,Switzerland,31-12-2022,24.24,18.94,,,,,,,,
MIKN.S,Mikron Holding AG,Switzerland,31-12-2022,,,,,,,,,,
GMI.S,Groupe Minoteries SA,Switzerland,31-12-2022,85.42,91.39,89.3,90.6,82.53,85.32,86.49,88.55,92.58,92.47
NESN.S,Nestle SA,Switzerland,31-12-2022,36.47,27.74,17.91,13.79,,,,,,
OFN.S,Orell Fuessli AG,Switzerland,31-12-2022,,,,,,,,,,
PEDU.S,Perrot Duval Holding SA,Switzerland,,24.73,19.23,15.82,,,,,,,
PMN.S,Phoenix Mecano AG,Switzerland,31-12-2022,55.18,65.72,59.18,57.51,50.64,36.47,36.54,29.56,29.26,34.23
RIEN.S,Rieter Holding AG,Switzerland,31-12-2022,4.96,5.79,4.72,,,,,,,
ARONL.S,Arundel AG,Switzerland,,51.23,59.45,52.78,50.24,46.08,43.58,46.8,42.38,38.7,39.76
SCHP.S,Schindler Holding AG,Switzerland,31-12-2022,44.74,43.43,41.38,34.7,23,,,,,
SWTQ.S,Schweiter Technologies AG,Switzerland,31-12-2022,68.95,69.41,66.87,64.72,69.1,,,,,
SFZN.S,Siegfried Holding AG,Switzerland,31-12-2022,80.65,81.15,77.15,65.32,64.36,60.3,59.84,51.5,44.59,43.49
SIKA.S,Sika AG,Switzerland,31-12-2022,,,,,,,,,,
SIMA.S,UBS (CH) Property Fund - Swiss Mixed 'Sima' CHF,Switzerland,,72.14,75.22,61.82,64.88,52.57,56.07,61.06,73.14,80.54,85.49
SUN.S,Sulzer AG,Switzerland,31-12-2022,,,,,,,,,,
SREA.S,UBS SW Swissreal,Switzerland,,63.8,56.68,57.76,50.96,40.18,30.55,,,,
TECN.S,Tecan Group AG,Switzerland,31-12-2022,42,38.06,11.74,,,,,,,
REHN.S,Romande Energie Holding SA,Switzerland,31-12-2022,,,,,,,,,,
VBSN.S,IVF Hartmann Holding AG,Switzerland,31-12-2022,47.53,49.29,44.38,37.43,31.39,,,,,
VETN.S,Vetropack Holding SA,Switzerland,31-12-2022,,,,,,,,,,
VILN.S,Villars Holding SA,Switzerland,31-12-2022,41.68,42.57,43.74,40.01,,,,,,
ROL.S,Von Roll Holding AG,Switzerland,,69.33,65.02,63.78,67.61,60.48,,,,,
VONN.S,Vontobel Holding AG,Switzerland,31-12-2022,34.62,30.93,31.31,,,,,,,
ZEHN.S,Zehnder Group AG,Switzerland,31-12-2022,54.21,32.27,32.62,27.81,,,,,,
BYS.S,Bystronic AG,Switzerland,31-12-2022,,,,,,,,,,
ZUGER.S,Zuger Kantonalbank,Switzerland,31-12-2022,82.79,82.98,75.4,73.35,63.48,43.91,46.48,51.87,44.58,47.76
FREG.DE,Fresenius SE & Co KGaA,Germany,31-12-2022,86.29,87.05,85.68,81.82,84.07,81.55,79.04,80.38,78.6,72.86
SGSN.S,SGS SA,Switzerland,31-12-2022,89.82,83.68,86.83,83.88,84.14,87.1,85.84,86.28,88.37,85.81
BMWG.DE,Bayerische Motoren Werke AG,Germany,,80.56,75.29,72.26,61.52,61.82,75.52,74.82,73.28,78.25,72.84
CECG.DE,Ceconomy AG,Germany,30-09-2022,42.39,41.57,44.53,44.79,42.69,45.33,50.7,51.07,50.62,46.26
BALN.S,Baloise Holding AG,Switzerland,31-12-2022,72.65,66.09,67.45,70.95,70.56,72.22,70.92,72.82,74.29,74.48
RWEG.DE,RWE AG,Germany,,87.32,89.44,90.38,87.92,85.5,83.84,82.46,83.52,84.5,82.86
SIEGn.DE,Siemens AG,Germany,30-09-2022,27.72,28.29,26.27,25.45,22.36,18.08,,,,
SNBN.S,Schweizerische Nationalbank,Switzerland,,51.84,37.02,35.07,28.52,26.77,,,,,
INRN.S,Interroll Holding AG,Switzerland,31-12-2022,39.3,37.98,38.03,35.23,32.38,,,,,
KOMN.S,Komax Holding AG,Switzerland,31-12-2022,74.37,76.45,76.52,67.76,70.42,71.43,73.3,66.8,61.12,62.56
TKAG.DE,thyssenkrupp AG,Germany,,,,,,,,,,,
IFAG.H,Ls Invest AG,Germany,,,,,,,,,,,
HRPKk.DE,7C Solarparken AG,Germany,31-12-2022,,,,,,,,,,
WIGGk.DE,Sporttotal AG,Germany,,49.81,45.28,38.06,,,,,,,
LPKG.DE,LPKF Laser & Electronics SE,Germany,31-12-2022,87.08,87.6,82.4,77.76,77.06,79.4,78.63,70.23,73.62,75.79
DTEGn.DE,Deutsche Telekom AG,Germany,31-12-2022,,,,,,,,,,
VHOG.BE,Value-Holdings AG,Germany,31-12-2021,43.82,39.52,32.11,25.08,,,,,,
INHG.DE,Indus Holding AG,Germany,31-12-2022,58.33,56.88,57.05,53.77,48.38,45.81,47.01,25.9,24.04,16.62
ARYN.S,Aryzta AG,Switzerland,,73.56,73.41,69.96,64.65,67.68,70.07,72.9,65.1,68.69,71.48
ADEN.S,Adecco Group AG,Switzerland,,91.98,92.81,94.32,94.11,94.97,86.09,86.65,88.46,86.12,88.67
ALVG.DE,Allianz SE,Germany,31-12-2022,92.32,93.12,92.6,90.71,89.9,83.78,83.78,87.9,88.61,86.79
BASFn.DE,BASF SE,Germany,31-12-2022,,,,,,,,,,
BCJ.S,Banque Cantonale Du Jura SA,Switzerland,31-12-2022,,,,,,,,,,
EFSG.MU,Effecten-Spiegel AG,Germany,31-12-2021,6.63,7.01,3.85,,,,,,,
AIRE.S,Airesis SA,Switzerland,,,,,,,,,,,
MYMX.PK,Mymetics Corp,Switzerland,,14.35,14.14,36.88,,,,,,,
ZUBN.S,Zueblin Immobilien Holding AG,Switzerland,31-03-2023,56.4,46.39,36.05,17.31,,,,,,
PV.DE,Pfeiffer Vacuum Technology AG,Germany,31-12-2022,54.15,54.09,47.04,45.52,46.52,,,,,
KRNG.DE,Krones AG,Germany,31-12-2022,83.13,70.31,68.67,68.4,68.8,63.76,49.21,39,33.86,33.15
G1AG.DE,GEA Group AG,Germany,31-12-2022,55.19,58.11,54.47,49.71,,,,,,
HBMG.H,Hornbach Baumarkt AG,Germany,28-02-2023,52.07,50.56,50.5,51.59,49.31,49.14,37.59,38.09,39.56,42.52
CB.N,Chubb Ltd,Switzerland,31-12-2022,,,,,,,,,,
HETAn.F,KHD Humboldt Wedag Vermoegensverwaltungs-AG,Germany,,83.21,80.2,74.41,73.22,69.76,66.7,58.02,,,
SATG.DE,Sartorius AG,Germany,31-12-2022,51.08,24.66,25.03,,,,,,,
SIM0.F,Simona AG,Germany,31-12-2022,,,,,,,,,,
WARN.S,Warteck Invest AG,Switzerland,31-12-2022,,,,,,,,,,
TSSG.F,InnoTec TSS AG,Germany,31-12-2022,59.79,52.85,53.37,48.04,41.13,,,,,
JUNG_p.DE,Jungheinrich AG,Germany,31-12-2022,,,,,,,,,,
FLEG.MU,Fleischerei Bedarf AG von 1923,Germany,,65.74,58.82,44.75,45.57,,,,,,
GFTG.DE,GFT Technologies SE,Germany,31-12-2022,,,,,,,,,,
KGRG.F,Lewag Holding AG,Germany,,66.01,51.27,48.01,45.07,51.72,41.85,52.33,26.18,32.06,
GWI2k.F,Gerry Weber International AG,Germany,31-12-2021,,,,,,,,,,
KVOG.MU,Oberstdorfer Bergbahn AG,Germany,30-11-2022,47.07,47.8,38.52,33.86,35.45,32.08,26.73,32.81,31.59,37.13
RHKG.DE,Rhoen Klinikum AG,Germany,,,,,,,,,,,
MTPG.MU,Muenchener Tierpark Hellabrunn AG,Germany,,48.87,48.02,40.14,42.84,38.57,,,,,
VOSG.DE,Vossloh AG,Germany,31-12-2022,,,,,,,,,,
SPNG.MU,Neuhof Textil-Holding AG,Germany,,,,,,,,,,,
GOZGn.F,Gold Zack AG,Germany,,,,,,,,,,,
BTCGk.F,Eyemaxx Real Estate AG,Germany,,,,,,,,,,,
SWHGg.F,Enercity AG,Germany,,65.65,61.63,50.88,47.44,43.46,28.28,40.55,32.4,31.31,36.77
MLPG.DE,MLP SE,Germany,31-12-2022,26.27,23.82,,,,,,,,
MBHG_p.F,Maschinenfabrik Berthold Hermle AG,Germany,31-12-2022,,,,,,,,,,
EIFG.F,MedNation AG,Germany,,,,,,,,,,,
TURG.F,Turbon AG,Germany,31-12-2022,71.12,61.98,60.75,,,,,,,
VIBG_p.DE,Villeroy & Boch AG,Germany,31-12-2022,,,,,,,,,,
STRN.S,Schlatter Industries AG,Switzerland,31-12-2022,57.72,61.55,57.43,54.44,51.13,,,,,
BIOG.DE,Biotest AG,Germany,,56.47,43.24,33.45,45.04,,,,,,
BDTG.DE,Bertrandt AG,Germany,30-09-2022,43.32,32.29,,,,,,,,
UZU.DE,Uzin Utz SE,Germany,31-12-2022,61.73,50.42,48.67,43.32,40.81,36.87,30.83,37.84,39.21,34.84
BEAN.S,Belimo Holding AG,Switzerland,31-12-2022,38.79,35.53,21.55,,,,,,,
BBN.S,Bellevue Group AG,Switzerland,31-12-2022,41.77,20.77,20.66,11.18,10.82,6.65,5.85,4.87,6.41,9.5
BION.S,BB Biotech AG,Switzerland,,85.26,86.39,85.55,83.2,85.15,82.99,84.24,84.3,84.46,84.7
NOVN.S,Novartis AG,Switzerland,31-12-2022,14.82,10.82,,,,,,,,
ONE.S,One Swiss Bank SA,Switzerland,,,,,,,,,,,
HBLN.S,Hypothekarbank Lenzburg AG,Switzerland,31-12-2022,64.7,64.83,64.48,51.36,50.33,42.74,39.66,48.43,36.67,40.57
HUBN.S,Huber+Suhner AG,Switzerland,31-12-2022,17.75,14.97,,,,,,,,
LECN.S,Leclanche SA,Switzerland,,53.07,54.28,53.24,49.73,42.6,41.35,45.67,45.54,46.34,
MORG.DE,MorphoSys AG,Germany,,,,,,,,,,,
MWBG.DE,mwb Fairtrade Wertpapierhandelsbank AG,Germany,31-12-2022,,,,,,,,,,
NSNG.F,Neschen AG,Germany,,26.24,25.06,20.82,,,,,,,
CLXN.S,Crealogix Holding AG,Switzerland,,,,,,,,,,,
WKB.S,Banque Cantonale du Valais,Switzerland,31-12-2022,,,,,,,,,,
SOL.S,SOLVALOR 61,Switzerland,,,,,,,,,,,
BBHKk.F,Deutsche Balaton AG,Germany,31-12-2021,40.2,35.33,29.05,18.03,11.28,,,,,
MOZN.S,Mobilezone Holding AG,Switzerland,31-12-2022,19.48,21.62,17.62,,,,,,,
VLRT.S,Valartis Group AG,Switzerland,31-12-2022,43.93,51.4,39.44,33.15,27.3,,,,,
BOS.S,Bossard Holding AG,Switzerland,31-12-2022,86.42,86.72,84.13,79.68,80.14,74.18,72.72,68.92,66.43,67.55
FMEG.DE,Fresenius Medical Care AG & Co KGaA,Germany,31-12-2022,,,,,,,,,,
STX50EEX.DE,iShares Core EURO STOXX 50 UCITS ETF (DE),Germany,,62.91,66.81,69.23,51.32,54.41,54.76,56.83,57.03,71.65,63.46
SWVKk.F,SolarWorld AG,Germany,,,,,,,,,,,
STX50EX.DE,iShares STOXX Europe 50 UCITS ETF (DE),Germany,,,,,,,,,,,
SGBI.PK,Sangui Biotech International Inc,Germany,,,,,,,,,,,
TIBN.S,Bergbahnen Engelberg Truebsee Titlis Bet AG,Switzerland,31-10-2022,,,,,,,,,,
AVFP.PK,Avis Financial Corp,Switzerland,,,,,,,,,,,
MBKG.DE,Merkur Privatbank KGaA,Germany,31-12-2022,,,,,,,,,,
GDAXIEX.DE,iShares Core DAX UCITS ETF (DE),Germany,,,,,,,,,,,
TLIK.DE,TELES Informationstechnologien AG,Germany,,48.09,47.67,41.38,30.52,30.24,,,,,
